vehicle_type,payment_method,ride_distance,booking_hour,cancelled
Prime Sedan,UPI,38,18,0
Prime SUV,Credit Card,37,21,0
Prime Sedan,UPI,40,13,0
Prime SUV,UPI,22,8,0
eBike,UPI,32,3,0
Mini,Cash,24,16,0
Auto,Cash,13,21,0
Prime Sedan,Credit Card,5,3,0
eBike,Cash,3,4,0
Prime Plus,Cash,9,10,0
Mini,Cash,17,7,0
Prime Plus,Cash,33,17,0
Auto,UPI,1,18,0
Auto,UPI,4,9,0
Prime SUV,UPI,21,20,0
Auto,Cash,2,23,0
eBike,Cash,31,9,0
Prime SUV,UPI,27,6,0
Bike,Cash,17,12,0
Bike,UPI,5,19,0
Auto,UPI,18,1,0
Auto,UPI,8,22,0
Prime SUV,Cash,2,13,0
Bike,Cash,4,5,0
Prime Sedan,UPI,21,21,0
Auto,UPI,12,16,0
eBike,Cash,25,11,0
Mini,UPI,40,10,0
Mini,UPI,1,15,0
eBike,UPI,34,3,0
Prime Sedan,UPI,13,13,0
Prime SUV,Cash,2,8,0
eBike,Cash,39,8,0
Auto,Cash,10,5,0
Bike,Cash,46,22,0
Bike,Credit Card,27,0,0
eBike,UPI,17,20,0
Prime Plus,UPI,44,3,0
Prime Sedan,UPI,17,18,0
Prime Plus,UPI,34,12,0
Auto,UPI,5,15,0
Auto,Cash,6,17,0
Prime Plus,UPI,39,13,0
Bike,UPI,29,12,0
Prime Sedan,Cash,36,7,0
Prime SUV,Cash,36,5,0
Auto,Cash,8,7,0
Mini,Credit Card,47,0,0
Auto,Cash,11,21,0
Prime Sedan,Cash,23,11,0
eBike,Credit Card,41,6,0
Bike,Cash,43,0,0
Prime SUV,Cash,29,8,0
Prime SUV,UPI,43,15,0
Prime Plus,Cash,42,22,0
eBike,Cash,45,7,0
Prime Sedan,UPI,47,4,0
Prime Plus,Cash,39,22,0
Prime SUV,Cash,16,18,0
Prime Plus,UPI,41,6,0
eBike,UPI,16,6,0
Prime Sedan,UPI,36,22,0
Auto,UPI,1,15,0
Bike,Cash,28,8,0
Auto,Cash,16,1,0
eBike,Cash,37,22,0
Mini,UPI,45,4,0
Prime SUV,Cash,40,18,0
Auto,Cash,18,13,0
Prime SUV,Cash,9,8,0
Auto,UPI,17,14,0
Prime Plus,UPI,4,7,0
eBike,Cash,27,23,0
Prime Plus,Cash,49,9,0
Prime SUV,Cash,8,11,0
Prime Sedan,UPI,5,17,0
Bike,UPI,27,21,0
Bike,Cash,31,6,0
Auto,UPI,2,17,0
Prime Sedan,UPI,15,11,0
Mini,Cash,20,17,0
Mini,Cash,42,13,0
Bike,UPI,37,12,0
Prime Sedan,Credit Card,3,1,0
Prime Plus,UPI,13,6,0
Prime SUV,Cash,10,9,0
Prime Plus,UPI,19,9,0
eBike,UPI,3,7,0
Prime SUV,Cash,33,1,0
Mini,Cash,24,12,0
Mini,Cash,6,10,0
Prime Sedan,Credit Card,36,23,0
eBike,Cash,17,2,0
Prime Sedan,UPI,10,17,0
Mini,UPI,39,14,0
Bike,UPI,27,13,0
Prime Plus,UPI,36,17,0
Prime SUV,Cash,8,15,0
Bike,Cash,17,4,0
Prime Plus,Cash,47,14,0
Bike,UPI,21,20,0
Prime SUV,UPI,43,18,0
Prime Plus,Cash,37,15,0
eBike,Cash,43,5,0
Prime Sedan,Cash,10,11,0
Prime SUV,Cash,20,21,0
eBike,Cash,6,1,0
Prime Sedan,UPI,9,5,0
Auto,Cash,10,9,0
Auto,UPI,2,8,0
Auto,UPI,1,9,0
Prime Sedan,UPI,12,21,0
Mini,Cash,22,19,0
Mini,Credit Card,9,23,0
Prime Sedan,UPI,28,11,0
eBike,UPI,40,6,0
Auto,UPI,4,20,0
Bike,Cash,2,4,0
Prime Plus,UPI,38,13,0
Prime Sedan,UPI,28,19,0
Prime SUV,UPI,9,19,0
Auto,UPI,16,14,0
Prime Plus,UPI,21,4,0
Prime Plus,UPI,30,12,0
eBike,Cash,11,7,0
Mini,Cash,29,10,0
Mini,Cash,7,2,0
Auto,Cash,2,16,0
Bike,Cash,12,4,0
Bike,UPI,38,22,0
Prime Sedan,Cash,16,7,0
Mini,Cash,14,3,0
Prime Sedan,Credit Card,46,12,0
eBike,UPI,5,18,0
Bike,Cash,14,23,0
Prime SUV,Cash,14,3,0
Bike,Cash,27,13,0
Prime SUV,UPI,44,14,0
Mini,Cash,15,21,0
Mini,Cash,43,23,0
Auto,Cash,9,15,0
Prime SUV,Cash,14,7,0
Auto,Cash,13,23,0
Prime Plus,Cash,2,16,0
Prime Plus,UPI,16,2,0
Mini,Cash,38,3,0
Mini,Cash,22,23,0
Prime SUV,Cash,3,19,0
Prime SUV,UPI,28,9,0
Prime Plus,Cash,15,0,0
eBike,Cash,30,8,0
Prime SUV,UPI,39,0,0
Mini,Cash,22,18,0
Prime Plus,Cash,7,21,0
Auto,Cash,2,3,0
Prime Plus,UPI,43,6,0
Auto,Cash,16,18,0
Prime SUV,UPI,17,2,0
Mini,UPI,35,1,0
Mini,UPI,49,3,0
Prime Sedan,Cash,17,21,0
eBike,Cash,36,11,0
Prime Plus,Cash,40,11,0
Prime Sedan,Cash,35,7,0
Mini,UPI,37,16,0
Prime SUV,Cash,40,12,0
Auto,Cash,10,18,0
Prime Plus,Cash,20,1,0
Prime SUV,Cash,4,23,0
Auto,Cash,19,3,0
Auto,Cash,4,2,0
Mini,Cash,15,1,0
Prime Sedan,UPI,43,11,0
Auto,UPI,18,6,0
Prime Plus,Cash,32,18,0
Bike,Cash,28,17,0
Prime Sedan,Cash,36,20,0
Auto,Cash,15,9,0
Prime SUV,Cash,9,16,0
Prime Plus,Cash,21,4,0
Prime Sedan,Cash,10,23,0
Bike,Cash,49,20,0
Auto,UPI,12,17,0
Bike,UPI,29,12,0
Mini,Cash,22,13,0
Prime Plus,Credit Card,14,2,0
eBike,UPI,43,5,0
Mini,UPI,44,10,0
Mini,Cash,14,20,0
eBike,Credit Card,5,16,0
Prime Sedan,UPI,3,1,0
Mini,Cash,22,11,0
Bike,UPI,30,8,0
Prime Sedan,Debit Card,23,0,0
Prime Plus,Cash,44,5,0
eBike,Cash,36,9,0
Auto,UPI,17,0,0
Bike,Cash,14,21,0
Mini,UPI,34,2,0
Auto,Cash,15,3,0
Prime SUV,UPI,24,13,0
Prime Sedan,UPI,44,8,0
Bike,UPI,1,14,0
eBike,UPI,5,22,0
Prime Sedan,UPI,44,9,0
Prime Plus,Cash,47,11,0
Prime Plus,Cash,21,16,0
Bike,UPI,21,22,0
Mini,Cash,48,15,0
Bike,UPI,34,8,0
Auto,Credit Card,14,22,0
eBike,Credit Card,36,16,0
Prime SUV,Cash,1,3,0
eBike,Credit Card,48,4,0
Auto,UPI,9,10,0
eBike,Cash,9,9,0
Prime Plus,UPI,26,13,0
Mini,Debit Card,9,18,0
Mini,Cash,3,1,0
eBike,Cash,38,0,0
Prime Sedan,Cash,27,18,0
Prime SUV,Cash,26,5,0
Prime SUV,Cash,3,14,0
Prime Plus,UPI,34,15,0
Bike,UPI,26,13,0
Auto,Cash,6,16,0
Auto,Cash,2,8,0
Prime SUV,Credit Card,20,4,0
eBike,UPI,22,13,0
Auto,Cash,2,22,0
eBike,Cash,26,16,0
Prime SUV,UPI,14,5,0
Prime Plus,Cash,22,9,0
Mini,UPI,8,10,0
Prime Plus,Cash,20,21,0
Prime SUV,Cash,2,19,0
Auto,Cash,4,15,0
Prime Sedan,Cash,38,8,0
Bike,Cash,24,19,0
Mini,Cash,46,20,0
Bike,Cash,31,3,0
Prime Sedan,UPI,21,11,0
Auto,Cash,16,5,0
Prime SUV,Cash,11,20,0
Bike,Cash,21,15,0
Auto,UPI,15,0,0
Prime Plus,Cash,49,4,0
Prime SUV,Cash,40,7,0
Prime Plus,UPI,34,14,0
Auto,UPI,18,2,0
Bike,Cash,10,4,0
Prime Plus,Credit Card,6,4,0
eBike,Cash,38,21,0
Prime SUV,Cash,32,15,0
Auto,UPI,18,16,0
Prime SUV,UPI,29,15,0
eBike,Cash,44,15,0
eBike,Cash,28,4,0
Prime SUV,Cash,36,22,0
Bike,Cash,29,3,0
eBike,UPI,8,1,0
Prime Plus,UPI,10,17,0
Prime SUV,Cash,14,0,0
Auto,UPI,9,7,0
Auto,Cash,16,23,0
Prime Sedan,UPI,23,8,0
Mini,UPI,12,9,0
Bike,Cash,18,14,0
Auto,Cash,12,4,0
Prime Plus,Credit Card,24,20,0
Prime SUV,Cash,41,17,0
Bike,Cash,41,17,0
Prime Plus,Cash,43,8,0
Auto,UPI,11,10,0
Prime Plus,UPI,9,5,0
Bike,Cash,31,4,0
Prime Sedan,Cash,37,12,0
Prime Plus,UPI,16,17,0
Auto,Cash,10,17,0
Auto,Cash,10,17,0
Auto,Cash,1,18,0
Prime Plus,UPI,46,18,0
Prime Plus,UPI,19,9,0
eBike,Cash,3,2,0
Prime Plus,Cash,23,22,0
Auto,UPI,2,3,0
Mini,UPI,19,10,0
Mini,Cash,39,7,0
Bike,UPI,23,3,0
eBike,Cash,4,0,0
Prime SUV,UPI,6,18,0
Bike,Cash,37,8,0
eBike,Cash,27,23,0
Prime Plus,Cash,23,20,0
eBike,Cash,2,2,0
Prime Sedan,UPI,27,8,0
eBike,UPI,36,22,0
Auto,UPI,18,6,0
eBike,UPI,31,14,0
Bike,Cash,13,19,0
Prime Sedan,UPI,25,6,0
Mini,Credit Card,19,20,0
Prime Sedan,UPI,30,4,0
Auto,UPI,2,23,0
Prime SUV,Cash,39,19,0
Prime Plus,UPI,3,13,0
Prime Sedan,UPI,39,19,0
Mini,Cash,29,3,0
Prime SUV,Cash,15,10,0
Prime SUV,UPI,27,8,0
Prime Plus,Cash,45,23,0
eBike,UPI,46,3,0
Prime SUV,Cash,11,8,0
Prime Plus,Cash,30,4,0
Bike,Cash,10,20,0
eBike,Cash,49,7,0
Prime SUV,Cash,9,13,0
Auto,Cash,14,18,0
Prime SUV,Cash,2,13,0
Auto,UPI,13,16,0
eBike,UPI,33,23,0
Auto,Cash,10,7,0
Prime Plus,UPI,13,5,0
Bike,UPI,5,19,0
Auto,Cash,18,19,0
Prime Plus,Cash,42,9,0
Bike,Credit Card,36,2,0
Mini,Credit Card,17,22,0
Auto,Cash,10,4,0
Bike,Cash,31,17,0
Auto,UPI,10,23,0
Prime SUV,UPI,15,16,0
Prime Sedan,UPI,10,2,0
Prime Sedan,UPI,15,22,0
Mini,Cash,41,8,0
eBike,Cash,33,17,0
eBike,Cash,37,14,0
Mini,Cash,9,6,0
Prime Plus,UPI,42,1,0
Mini,UPI,33,1,0
Auto,Credit Card,15,5,0
Prime SUV,Cash,44,12,0
Bike,Cash,4,20,0
Prime SUV,UPI,27,19,0
Prime Plus,Cash,19,5,0
Prime Plus,UPI,33,6,0
Bike,Cash,21,8,0
Bike,Cash,25,19,0
Auto,UPI,6,1,0
Mini,UPI,48,16,0
Auto,Credit Card,18,3,0
Auto,UPI,4,23,0
Auto,UPI,10,22,0
Prime SUV,UPI,38,18,0
Mini,Cash,37,5,0
Mini,Cash,4,5,0
Prime Sedan,UPI,14,12,0
Auto,Cash,19,15,0
Bike,Cash,29,4,0
eBike,Cash,16,18,0
Bike,Credit Card,2,21,0
Prime SUV,UPI,47,17,0
Prime Sedan,UPI,31,4,0
Auto,Cash,16,19,0
eBike,Cash,18,4,0
Prime SUV,UPI,26,11,0
Mini,Cash,25,5,0
Bike,UPI,3,23,0
Auto,Cash,1,15,0
Prime SUV,Cash,26,23,0
Prime SUV,Cash,17,7,0
Prime Sedan,Cash,44,2,0
Prime Plus,UPI,36,2,0
Auto,UPI,19,13,0
eBike,Cash,24,17,0
Prime Sedan,Cash,48,16,0
Prime Sedan,Cash,5,6,0
Prime SUV,UPI,35,6,0
Prime SUV,Cash,14,5,0
Mini,Cash,20,3,0
eBike,Cash,6,22,0
Bike,UPI,21,14,0
Auto,Cash,17,16,0
eBike,Cash,13,2,0
Bike,Cash,26,4,0
Prime SUV,Credit Card,20,14,0
eBike,Cash,27,17,0
Mini,Cash,6,1,0
Mini,Cash,19,2,0
Bike,Cash,42,10,0
Prime Plus,Credit Card,9,4,0
Bike,UPI,29,7,0
Mini,Cash,14,5,0
Prime Plus,Cash,21,21,0
Prime Sedan,Cash,31,20,0
Auto,Cash,7,4,0
Prime Sedan,UPI,2,11,0
Bike,UPI,45,12,0
Prime SUV,Cash,36,14,0
Prime Plus,Cash,17,14,0
Mini,UPI,3,7,0
Prime Sedan,Cash,34,16,0
Bike,Cash,49,11,0
Bike,Cash,9,9,0
Prime Sedan,UPI,7,20,0
Auto,Cash,6,14,0
Prime SUV,UPI,8,16,0
Prime Sedan,Cash,30,8,0
Prime Plus,UPI,24,22,0
Prime SUV,UPI,22,15,0
Auto,Cash,15,5,0
Prime Plus,Cash,13,6,0
Mini,UPI,32,3,0
Auto,Cash,16,22,0
Auto,Cash,11,1,0
eBike,UPI,13,14,0
Auto,Cash,11,14,0
Auto,UPI,17,7,0
eBike,Cash,19,13,0
Auto,UPI,7,13,0
Bike,Cash,49,20,0
Prime Plus,UPI,49,16,0
Prime SUV,UPI,15,12,0
Auto,UPI,16,1,0
eBike,Credit Card,49,4,0
Bike,Cash,13,8,0
Prime SUV,Cash,9,20,0
Auto,Cash,12,16,0
Mini,Cash,29,3,0
Mini,Cash,27,17,0
Bike,UPI,37,11,0
Prime Plus,Cash,26,17,0
Auto,Cash,2,6,0
Auto,Cash,12,1,0
Prime Sedan,Cash,33,9,0
Prime Sedan,UPI,40,14,0
Mini,UPI,9,6,0
Prime SUV,UPI,42,20,0
eBike,UPI,31,21,0
Auto,UPI,5,14,0
Auto,Cash,14,23,0
Prime Plus,Cash,10,15,0
Mini,Cash,8,13,0
Prime Plus,Cash,19,6,0
Prime Sedan,Cash,6,6,0
Prime Sedan,UPI,32,16,0
Bike,UPI,36,9,0
Bike,Cash,23,10,0
eBike,Cash,32,3,0
Auto,Cash,19,21,0
Mini,Cash,42,2,0
eBike,UPI,5,20,0
Prime Sedan,UPI,43,8,0
Prime Plus,Cash,25,5,0
Prime Sedan,Cash,39,2,0
Prime Plus,Cash,45,11,0
Bike,Cash,12,6,0
Bike,UPI,41,11,0
Prime SUV,Cash,26,5,0
Prime Plus,UPI,29,3,0
Bike,Cash,5,14,0
Bike,UPI,19,16,0
Prime Sedan,UPI,37,21,0
Bike,UPI,36,12,0
eBike,Cash,30,6,0
Mini,Cash,20,18,0
Prime Sedan,UPI,41,1,0
Prime Plus,Cash,20,16,0
Prime SUV,UPI,42,3,0
Bike,Cash,40,3,0
Auto,UPI,13,13,0
eBike,Debit Card,24,9,0
Mini,Cash,12,4,0
Mini,Cash,6,8,0
Prime SUV,UPI,27,3,0
Prime Plus,Cash,22,17,0
Prime Sedan,Cash,25,3,0
Prime Plus,UPI,6,0,0
Prime SUV,Cash,4,0,0
Prime Plus,UPI,10,13,0
Prime Plus,Cash,29,22,0
eBike,UPI,46,11,0
eBike,UPI,35,21,0
Mini,UPI,18,4,0
eBike,Cash,36,14,0
eBike,Cash,45,21,0
Auto,UPI,11,18,0
Prime Sedan,UPI,10,9,0
Prime Plus,Credit Card,18,3,0
Prime SUV,Cash,32,9,0
Mini,UPI,45,23,0
Prime Sedan,Cash,37,14,0
Prime Plus,UPI,21,17,0
Bike,UPI,7,20,0
Prime Sedan,Cash,3,20,0
Prime Plus,Cash,43,23,0
eBike,Cash,36,7,0
Prime SUV,UPI,14,9,0
Mini,Cash,34,20,0
eBike,Cash,4,13,0
Prime Plus,UPI,17,8,0
Prime Plus,Cash,31,22,0
Mini,Cash,16,2,0
eBike,Cash,22,16,0
Prime Sedan,Cash,44,2,0
Mini,UPI,25,21,0
Prime SUV,Cash,3,15,0
Prime Sedan,Cash,1,17,0
eBike,UPI,19,20,0
Prime SUV,Cash,34,6,0
Prime SUV,Cash,17,23,0
Prime Sedan,Cash,3,6,0
Prime Plus,UPI,22,7,0
Auto,Cash,17,14,0
Auto,Credit Card,9,8,0
Auto,UPI,14,18,0
Bike,UPI,24,11,0
Prime Sedan,Cash,37,21,0
Prime Plus,Cash,47,21,0
Auto,Cash,15,16,0
Prime Plus,UPI,43,14,0
Bike,Cash,14,2,0
Prime Plus,UPI,16,3,0
Auto,UPI,7,17,0
eBike,Cash,38,8,0
Auto,Cash,4,21,0
Prime Plus,UPI,44,19,0
Auto,Cash,3,14,0
Mini,Cash,26,23,0
Prime SUV,Cash,14,16,0
eBike,Cash,29,20,0
Prime Sedan,Cash,25,21,0
Prime Plus,Cash,17,1,0
Mini,UPI,20,8,0
eBike,Cash,28,13,0
Bike,UPI,30,2,0
Prime SUV,Cash,39,14,0
Prime Sedan,Cash,36,6,0
eBike,UPI,40,12,0
Auto,Cash,3,18,0
Auto,Cash,15,5,0
Prime Plus,Cash,38,7,0
Prime Plus,UPI,44,11,0
Bike,UPI,15,1,0
Auto,Cash,18,22,0
Prime SUV,Cash,16,21,0
Prime Plus,Cash,14,5,0
eBike,Cash,28,7,0
Auto,Cash,11,13,0
Prime Plus,UPI,4,14,0
Prime Plus,UPI,23,20,0
Prime Plus,Credit Card,21,0,0
eBike,UPI,32,8,0
eBike,Cash,13,4,0
eBike,UPI,41,4,0
Bike,Credit Card,38,14,0
Mini,UPI,5,2,0
Bike,Cash,46,5,0
Prime Sedan,UPI,18,1,0
eBike,UPI,26,12,0
Prime Sedan,Cash,6,10,0
Prime Sedan,UPI,43,16,0
eBike,UPI,31,15,0
Prime SUV,UPI,23,11,0
Prime Sedan,Cash,8,18,0
Prime Sedan,UPI,39,15,0
Auto,Cash,13,16,0
Bike,Cash,4,10,0
eBike,Cash,15,13,0
Prime SUV,UPI,12,2,0
Bike,Cash,12,14,0
Bike,Cash,45,21,0
eBike,Cash,18,17,0
Auto,Cash,4,14,0
Mini,UPI,24,1,0
Auto,Cash,5,4,0
Prime SUV,UPI,37,6,0
Prime Sedan,UPI,15,17,0
Prime SUV,Cash,33,21,0
Prime Plus,Cash,47,12,0
Prime Plus,UPI,29,13,0
Prime SUV,Cash,18,3,0
Prime SUV,Cash,3,23,0
Mini,Cash,47,0,0
Auto,Cash,2,7,0
Auto,Cash,7,23,0
Mini,Cash,2,21,0
eBike,UPI,20,21,0
eBike,Cash,15,19,0
Bike,Cash,31,15,0
eBike,Debit Card,47,14,0
eBike,UPI,7,12,0
Bike,Cash,23,10,0
Prime Sedan,UPI,22,3,0
Bike,Cash,10,19,0
Mini,UPI,46,8,0
Prime Plus,Cash,8,1,0
Prime SUV,Cash,12,2,0
Mini,Cash,17,4,0
Mini,UPI,42,17,0
eBike,UPI,16,12,0
Mini,UPI,34,0,0
Mini,UPI,36,2,0
Mini,Credit Card,40,11,0
Auto,Cash,6,15,0
Mini,Cash,43,15,0
eBike,Cash,34,17,0
Prime Plus,Cash,22,19,0
Prime Sedan,UPI,2,22,0
